"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Alpena,Wilson,041080,0,,ALPENA PUBLIC SCHOOLS,04010,22.9524,22.9524,40.8678
Alpena,Alpena,042010,1,,ALPENA PUBLIC SCHOOLS,04010,38.7403,38.7403,56.6557
Antrim,Banks,051010,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,25.2719,26.2719,44.0162
Antrim,Banks,051010,0,,ELLSWORTH COMMUNITY SCHOOLS,05065,24.5336,25.5336,43.0250
Antrim,Banks,051010,0,ELLSWORTH,ELLSWORTH COMMUNITY SCHOOLS,05065,35.7864,36.7864,54.2778
Antrim,Banks,051010,0,,CHARLEVOIX PUBLIC SCHOOLS,15050,25.1220,26.1220,44.1220
Antrim,Central Lake,051020,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,24.5228,26.5228,44.2671
Antrim,Central Lake,051020,0,CENTRAL LAKE,CENTRAL LAKE PUBLIC SCHOOLS,05035,39.1766,41.1766,58.9209
Antrim,Central Lake,051020,0,,ELLSWORTH COMMUNITY SCHOOLS,05065,23.7845,25.7845,43.2759
Antrim,Chestonia,051030,0,,ALBA PUBLIC SCHOOLS,05010,23.5933,23.5933,41.4520
Antrim,Chestonia,051030,0,,MANCELONA PUBLIC SCHOOLS,05070,26.6731,26.6731,44.6731
Antrim,Custer,051040,0,,BELLAIRE PUBLIC SCHOOLS,05040,23.7482,26.2482,44.2482
Antrim,Custer,051040,0,,MANCELONA PUBLIC SCHOOLS,05070,24.9780,27.4780,45.4780
Antrim,Echo,051050,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,25.2742,25.2742,43.0185
Antrim,Echo,051050,0,,BELLAIRE PUBLIC SCHOOLS,05040,22.7189,22.7189,40.7189
Antrim,Echo,051050,0,,EAST JORDAN PUBLIC SCHOOLS,15060,26.2006,26.2006,44.2006
Antrim,Elk Rapids,051060,0,,ELK RAPIDS SCHOOLS,05060,19.9800,22.0800,40.0800
Antrim,Elk Rapids,051060,0,ELK RAPIDS,ELK RAPIDS SCHOOLS,05060,32.2252,34.3252,52.3252
Antrim,Forest Home,051070,0,,BELLAIRE PUBLIC SCHOOLS,05040,22.3068,24.3068,42.3068
Antrim,Forest Home,051070,0,BELLAIRE,BELLAIRE PUBLIC SCHOOLS,05040,36.9990,38.9990,56.9990
Antrim,Helena,051080,0,,MANCELONA PUBLIC SCHOOLS,05070,26.0614,29.0614,47.0614
Antrim,Jordan,051090,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,24.2821,24.2821,42.0264
Antrim,Jordan,051090,0,,BOYNE CITY PUBLIC SCH DIST,15020,24.3177,24.3177,42.3177
Antrim,Jordan,051090,0,,EAST JORDAN PUBLIC SCHOOLS,15060,25.2085,25.2085,43.2085
Antrim,Kearney,051100,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,23.7868,25.7868,43.5311
Antrim,Kearney,051100,0,,BELLAIRE PUBLIC SCHOOLS,05040,21.7815,23.7815,41.7815
Antrim,Kearney,051100,0,BELLAIRE,BELLAIRE PUBLIC SCHOOLS,05040,36.4737,38.4737,56.4737
Antrim,Mancelona,051110,0,,MANCELONA PUBLIC SCHOOLS,05070,23.6488,25.6488,43.6488
Antrim,Mancelona,051110,0,MANCELONA,MANCELONA PUBLIC SCHOOLS,05070,37.2602,39.2602,57.2602
Antrim,Milton,051120,0,,ELK RAPIDS SCHOOLS,05060,21.0768,22.0768,40.0768
Antrim,Star,051130,0,,ALBA PUBLIC SCHOOLS,05010,24.3548,24.3548,42.2135
Antrim,Torch Lake,051140,0,,CENTRAL LAKE PUBLIC SCHOOLS,05035,22.5759,26.5759,44.3202
Antrim,Torch Lake,051140,0,,ELK RAPIDS SCHOOLS,05060,19.7706,23.7706,41.7706
